ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2013-11-01T00:00:00.000000000Z,33,1,28499,3375.250000000,3376.250000000,3375.250000000,3376.250000000,84,NQZ3
2013-11-01T00:04:00.000000000Z,33,1,28499,3375.750000000,3376.250000000,3375.250000000,3376.000000000,19,NQZ3
2013-11-01T00:08:00.000000000Z,33,1,28499,3376.000000000,3376.000000000,3375.250000000,3375.500000000,48,NQZ3
2013-11-01T00:12:00.000000000Z,33,1,28499,3375.500000000,3376.000000000,3375.500000000,3375.750000000,69,NQZ3
2013-11-01T00:16:00.000000000Z,33,1,28499,3375.500000000,3375.500000000,3375.000000000,3375.000000000,71,NQZ3
2013-11-01T00:20:00.000000000Z,33,1,28499,3375.000000000,3375.500000000,3375.000000000,3375.500000000,18,NQZ3
2013-11-01T00:24:00.000000000Z,33,1,28499,3375.750000000,3375.750000000,3375.500000000,3375.500000000,7,NQZ3
2013-11-01T00:28:00.000000000Z,33,1,28499,3375.500000000,3375.750000000,3375.500000000,3375.500000000,4,NQZ3
2013-11-01T00:32:00.000000000Z,33,1,28499,3376.000000000,3376.000000000,3375.000000000,3375.000000000,23,NQZ3
2013-11-01T00:36:00.000000000Z,33,1,28499,3375.000000000,3375.500000000,3374.750000000,3375.250000000,48,NQZ3
2013-11-01T00:40:00.000000000Z,33,1,28499,3375.250000000,3375.250000000,3375.250000000,3375.250000000,3,NQZ3
2013-11-01T00:44:00.000000000Z,33,1,28499,3375.000000000,3375.750000000,3375.000000000,3375.500000000,21,NQZ3
2013-11-01T00:48:00.000000000Z,33,1,28499,3375.250000000,3375.250000000,3375.250000000,3375.250000000,6,NQZ3
2013-11-01T00:52:00.000000000Z,33,1,28499,3375.000000000,3375.250000000,3374.750000000,3375.250000000,63,NQZ3
2013-11-01T00:56:00.000000000Z,33,1,28499,3375.500000000,3376.000000000,3375.500000000,3375.750000000,46,NQZ3
2013-11-01T01:00:00.000000000Z,33,1,28499,3376.000000000,3376.000000000,3375.500000000,3375.500000000,20,NQZ3
2013-11-01T01:04:00.000000000Z,33,1,28499,3375.500000000,3375.500000000,3375.250000000,3375.250000000,15,NQZ3
2013-11-01T01:08:00.000000000Z,33,1,28499,3375.500000000,3375.500000000,3375.000000000,3375.250000000,14,NQZ3
2013-11-01T01:12:00.000000000Z,33,1,28499,3375.250000000,3375.250000000,3375.250000000,3375.250000000,10,NQZ3
2013-11-01T01:16:00.000000000Z,33,1,28499,3375.500000000,3375.500000000,3375.500000000,3375.500000000,6,NQZ3
2013-11-01T01:20:00.000000000Z,33,1,28499,3375.250000000,3375.250000000,3374.750000000,3375.000000000,51,NQZ3
2013-11-01T01:24:00.000000000Z,33,1,28499,3375.000000000,3375.250000000,3375.000000000,3375.250000000,33,NQZ3
