ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-02-02T23:00:00.000000000Z,33,1,10204,8982.750000000,9040.000000000,8975.000000000,9040.000000000,4659,NQH0
2020-02-02T23:04:00.000000000Z,33,1,16908,9045.500000000,9045.500000000,9017.500000000,9045.000000000,1556,NQM0
2020-02-02T23:08:00.000000000Z,33,1,16908,9042.000000000,9042.000000000,8999.000000000,8999.500000000,1716,NQM0
2020-02-02T23:12:00.000000000Z,33,1,10204,8999.000000000,9031.250000000,8998.000000000,9021.500000000,1783,NQH0
2020-02-02T23:16:00.000000000Z,33,1,10204,9021.500000000,9038.750000000,9015.000000000,9020.750000000,811,NQH0
2020-02-02T23:20:00.000000000Z,33,1,10204,9020.250000000,9037.500000000,9018.000000000,9018.500000000,975,NQH0
2020-02-02T23:24:00.000000000Z,33,1,16908,9038.750000000,9042.500000000,9019.000000000,9030.250000000,1298,NQM0
2020-02-02T23:28:00.000000000Z,33,1,16908,9047.500000000,9047.500000000,9022.750000000,9030.750000000,873,NQM0
2020-02-02T23:32:00.000000000Z,33,1,16908,9051.750000000,9055.500000000,9021.000000000,9026.000000000,1392,NQM0
2020-02-02T23:36:00.000000000Z,33,1,10204,9026.000000000,9031.500000000,9020.750000000,9030.500000000,646,NQH0
2020-02-02T23:40:00.000000000Z,33,1,10204,9031.000000000,9034.750000000,9026.000000000,9027.750000000,681,NQH0
2020-02-02T23:44:00.000000000Z,33,1,10204,9028.000000000,9040.000000000,9016.000000000,9019.750000000,1288,NQH0
2020-02-02T23:48:00.000000000Z,33,1,10204,9019.750000000,9028.500000000,9012.750000000,9013.250000000,947,NQH0
2020-02-02T23:52:00.000000000Z,33,1,10204,9013.500000000,9016.500000000,9010.500000000,9015.000000000,706,NQH0
2020-02-02T23:56:00.000000000Z,33,1,10204,9014.750000000,9035.000000000,9014.250000000,9020.750000000,634,NQH0
2020-02-03T00:00:00.000000000Z,33,1,10204,9020.000000000,9024.250000000,9011.250000000,9017.500000000,1005,NQH0
2020-02-03T00:04:00.000000000Z,33,1,16908,9038.000000000,9038.000000000,9016.000000000,9020.000000000,880,NQM0
2020-02-03T00:08:00.000000000Z,33,1,10204,9020.750000000,9032.250000000,9020.750000000,9031.250000000,1120,NQH0
2020-02-03T00:12:00.000000000Z,33,1,10204,9031.500000000,9035.000000000,9025.500000000,9025.750000000,1274,NQH0
2020-02-03T00:16:00.000000000Z,33,1,10204,9026.000000000,9026.250000000,9020.250000000,9025.000000000,865,NQH0
2020-02-03T00:20:00.000000000Z,33,1,10204,9024.500000000,9029.250000000,9023.500000000,9026.750000000,500,NQH0
2020-02-03T00:24:00.000000000Z,33,1,10204,9026.750000000,9031.000000000,9026.750000000,9029.000000000,391,NQH0
2020-02-03T00:28:00.000000000Z,33,1,10204,9028.750000000,9031.250000000,9026.250000000,9030.500000000,326,NQH0
2020-02-03T00:32:00.000000000Z,33,1,10204,9030.500000000,9040.000000000,9030.250000000,9040.000000000,830,NQH0
2020-02-03T00:36:00.000000000Z,33,1,10204,9039.500000000,9072.000000000,9039.500000000,9050.000000000,2359,NQH0
2020-02-03T00:40:00.000000000Z,33,1,10204,9049.750000000,9060.750000000,9042.250000000,9045.500000000,889,NQH0
2020-02-03T00:44:00.000000000Z,33,1,10204,9046.000000000,9080.000000000,9045.750000000,9057.250000000,1848,NQH0
2020-02-03T00:48:00.000000000Z,33,1,10204,9057.500000000,9058.000000000,9045.750000000,9049.250000000,1111,NQH0
2020-02-03T00:52:00.000000000Z,33,1,10204,9049.500000000,9051.500000000,9046.250000000,9050.750000000,954,NQH0
2020-02-03T00:56:00.000000000Z,33,1,10204,9050.750000000,9053.500000000,9045.000000000,9045.000000000,632,NQH0
2020-02-03T01:00:00.000000000Z,33,1,16908,9062.500000000,9062.500000000,9028.500000000,9040.750000000,2170,NQM0
2020-02-03T01:04:00.000000000Z,33,1,16908,9055.000000000,9055.000000000,9028.000000000,9043.500000000,2421,NQM0
