ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2012-02-01T00:00:00.000000000Z,33,1,8870,2455.750000000,2456.500000000,2455.750000000,2456.500000000,23,NQH2
2012-02-01T00:04:00.000000000Z,33,1,8870,2456.500000000,2457.500000000,2456.500000000,2457.000000000,15,NQH2
2012-02-01T00:08:00.000000000Z,33,1,8870,2457.500000000,2457.500000000,2456.250000000,2456.250000000,16,NQH2
2012-02-01T00:12:00.000000000Z,33,1,8870,2456.000000000,2456.250000000,2455.250000000,2455.500000000,23,NQH2
2012-02-01T00:16:00.000000000Z,33,1,8870,2456.000000000,2456.250000000,2455.750000000,2456.000000000,8,NQH2
2012-02-01T00:20:00.000000000Z,33,1,8870,2456.750000000,2457.250000000,2456.750000000,2457.000000000,17,NQH2
2012-02-01T00:24:00.000000000Z,33,1,8870,2456.500000000,2457.000000000,2456.500000000,2457.000000000,12,NQH2
2012-02-01T00:28:00.000000000Z,33,1,8870,2456.500000000,2456.500000000,2456.500000000,2456.500000000,1,NQH2
2012-02-01T00:32:00.000000000Z,33,1,8870,2456.250000000,2456.500000000,2456.250000000,2456.250000000,10,NQH2
2012-02-01T00:36:00.000000000Z,33,1,8870,2456.000000000,2456.750000000,2456.000000000,2456.750000000,17,NQH2
2012-02-01T00:40:00.000000000Z,33,1,8870,2457.250000000,2457.750000000,2457.000000000,2457.750000000,23,NQH2
2012-02-01T00:44:00.000000000Z,33,1,8870,2458.000000000,2458.250000000,2457.000000000,2457.750000000,25,NQH2
2012-02-01T00:48:00.000000000Z,33,1,8870,2458.000000000,2458.250000000,2456.250000000,2456.500000000,136,NQH2
2012-02-01T00:52:00.000000000Z,33,1,8870,2456.500000000,2456.500000000,2456.000000000,2456.000000000,60,NQH2
2012-02-01T00:56:00.000000000Z,33,1,8870,2456.000000000,2457.250000000,2455.750000000,2457.000000000,83,NQH2
2012-02-01T01:00:00.000000000Z,33,1,8870,2457.000000000,2459.500000000,2456.750000000,2458.500000000,212,NQH2
2012-02-01T01:04:00.000000000Z,33,1,8870,2458.750000000,2459.500000000,2458.500000000,2459.250000000,49,NQH2
2012-02-01T01:08:00.000000000Z,33,1,8870,2459.250000000,2461.750000000,2459.250000000,2460.750000000,186,NQH2
2012-02-01T01:12:00.000000000Z,33,1,8870,2461.000000000,2462.250000000,2461.000000000,2462.250000000,64,NQH2
2012-02-01T01:16:00.000000000Z,33,1,8870,2462.250000000,2462.250000000,2460.500000000,2460.750000000,80,NQH2
2012-02-01T01:20:00.000000000Z,33,1,8870,2460.750000000,2461.750000000,2460.250000000,2460.750000000,39,NQH2
2012-02-01T01:24:00.000000000Z,33,1,8870,2461.000000000,2461.000000000,2460.250000000,2460.250000000,24,NQH2
2012-02-01T01:28:00.000000000Z,33,1,8870,2460.500000000,2461.000000000,2460.000000000,2460.250000000,40,NQH2
2012-02-01T01:32:00.000000000Z,33,1,8870,2460.000000000,2460.000000000,2458.500000000,2458.500000000,43,NQH2
2012-02-01T01:36:00.000000000Z,33,1,8870,2458.750000000,2458.750000000,2457.750000000,2458.250000000,44,NQH2
2012-02-01T01:40:00.000000000Z,33,1,8870,2458.000000000,2459.250000000,2458.000000000,2459.250000000,19,NQH2
2012-02-01T01:44:00.000000000Z,33,1,8870,2459.500000000,2461.000000000,2459.500000000,2460.250000000,59,NQH2
2012-02-01T01:48:00.000000000Z,33,1,8870,2460.750000000,2461.000000000,2460.250000000,2460.250000000,13,NQH2
2012-02-01T01:52:00.000000000Z,33,1,8870,2460.500000000,2461.000000000,2460.000000000,2460.250000000,34,NQH2
