ts_event,rtype,publisher_id,instrument_id,symbol,open,high,low,close,volume
2010-12-01 00:00:00+00:00,33,1,3088,NQZ0,2112.25,2117.5,2111.0,2117.5,1701
2010-12-01 00:00:00+00:00,33,1,93735,NQH1,2112.0,2115.0,2110.0,2115.0,29
2010-12-01 04:00:00+00:00,33,1,3088,NQZ0,2117.0,2124.25,2116.5,2123.0,2442
2010-12-01 04:00:00+00:00,33,1,93735,NQH1,2115.5,2121.5,2115.5,2121.5,29
2010-12-01 08:00:00+00:00,33,1,3088,NQZ0,2123.0,2140.5,2122.0,2138.0,10832
2010-12-01 08:00:00+00:00,33,1,93735,NQH1,2122.0,2138.0,2122.0,2138.0,124
2010-12-01 08:00:00+00:00,33,1,683491,NQZ0-NQH1,-2.0,-2.0,-2.0,-2.0,2
2010-12-01 12:00:00+00:00,33,1,3088,NQZ0,2138.25,2167.5,2134.75,2164.25,130073
2010-12-01 12:00:00+00:00,33,1,93735,NQH1,2137.75,2164.75,2137.5,2163.0,378
2010-12-01 12:00:00+00:00,33,1,683491,NQZ0-NQH1,-2.0,-1.8,-2.0,-1.95,144
2010-12-01 16:00:00+00:00,33,1,3088,NQZ0,2164.5,2174.0,2162.5,2168.75,111417
2010-12-01 16:00:00+00:00,33,1,93735,NQH1,2162.25,2171.75,2161.25,2167.0,524
2010-12-01 16:00:00+00:00,33,1,683491,NQZ0-NQH1,-1.9,-1.9,-1.95,-1.9,110
2010-12-01 20:00:00+00:00,33,1,3088,NQZ0,2168.5,2168.75,2156.75,2162.0,50961
2010-12-01 20:00:00+00:00,33,1,93735,NQH1,2166.0,2166.0,2157.75,2159.5,101
2010-12-01 20:00:00+00:00,33,1,683491,NQZ0-NQH1,-1.9,-1.9,-2.0,-2.0,32
2010-12-02 00:00:00+00:00,33,1,3088,NQZ0,2162.0,2163.0,2158.0,2159.5,1399
2010-12-02 00:00:00+00:00,33,1,93735,NQH1,2160.0,2161.0,2157.0,2158.0,9
2010-12-02 00:00:00+00:00,33,1,683491,NQZ0-NQH1,-1.8,-1.8,-1.8,-1.8,2
2010-12-02 04:00:00+00:00,33,1,3088,NQZ0,2159.25,2164.0,2158.0,2163.25,1221
2010-12-02 04:00:00+00:00,33,1,93735,NQH1,2157.25,2162.0,2157.25,2162.0,19
2010-12-02 08:00:00+00:00,33,1,3088,NQZ0,2163.5,2170.75,2157.0,2168.0,10551
2010-12-02 08:00:00+00:00,33,1,93735,NQH1,2161.25,2168.5,2156.25,2166.0,57
2010-12-02 08:00:00+00:00,33,1,683491,NQZ0-NQH1,-1.8,-1.65,-1.8,-1.75,65
2010-12-02 12:00:00+00:00,33,1,3088,NQZ0,2167.75,2180.25,2157.5,2176.0,103642
2010-12-02 12:00:00+00:00,33,1,93735,NQH1,2165.0,2178.0,2156.75,2174.0,1027
2010-12-02 12:00:00+00:00,33,1,683491,NQZ0-NQH1,-1.8,-1.55,-1.85,-1.55,375
2010-12-02 16:00:00+00:00,33,1,3088,NQZ0,2176.25,2186.75,2174.0,2182.75,75885
2010-12-02 16:00:00+00:00,33,1,93735,NQH1,2174.5,2185.0,2172.75,2182.5,194
2010-12-02 16:00:00+00:00,33,1,683491,NQZ0-NQH1,-1.6,-1.5,-1.65,-1.65,56
2010-12-02 20:00:00+00:00,33,1,3088,NQZ0,2183.0,2189.5,2182.5,2187.0,41679
2010-12-02 20:00:00+00:00,33,1,93735,NQH1,2182.25,2187.5,2181.25,2187.0,108
2010-12-02 20:00:00+00:00,33,1,683491,NQZ0-NQH1,-1.85,-1.8,-2.05,-1.9,424
2010-12-03 00:00:00+00:00,33,1,3088,NQZ0,2186.75,2188.5,2184.75,2185.5,1046
