ts_event,rtype,publisher_id,instrument_id,symbol,open,high,low,close,volume
2010-12-01 00:00:00+00:00,33,1,3088,NQZ0,2112.25,2113.5,2112.25,2112.75,198
2010-12-01 00:15:00+00:00,33,1,3088,NQZ0,2113.0,2113.75,2112.25,2113.25,135
2010-12-01 00:30:00+00:00,33,1,3088,NQZ0,2113.75,2114.0,2112.0,2112.25,66
2010-12-01 00:45:00+00:00,33,1,3088,NQZ0,2112.5,2113.5,2112.25,2113.25,184
2010-12-01 01:00:00+00:00,33,1,3088,NQZ0,2114.0,2116.5,2114.0,2115.0,194
2010-12-01 01:00:00+00:00,33,1,93735,NQH1,2112.0,2113.0,2112.0,2113.0,6
2010-12-01 01:15:00+00:00,33,1,3088,NQZ0,2115.0,2115.0,2113.25,2113.5,195
2010-12-01 01:30:00+00:00,33,1,3088,NQZ0,2113.5,2113.5,2111.0,2113.25,77
2010-12-01 01:30:00+00:00,33,1,93735,NQH1,2110.0,2110.0,2110.0,2110.0,10
2010-12-01 01:45:00+00:00,33,1,3088,NQZ0,2113.5,2115.25,2113.5,2114.0,113
2010-12-01 01:45:00+00:00,33,1,93735,NQH1,2111.75,2111.75,2111.75,2111.75,1
2010-12-01 02:00:00+00:00,33,1,3088,NQZ0,2114.5,2115.5,2112.75,2113.75,71
2010-12-01 02:00:00+00:00,33,1,93735,NQH1,2112.0,2112.0,2112.0,2112.0,1
2010-12-01 02:15:00+00:00,33,1,3088,NQZ0,2113.75,2114.75,2112.75,2114.25,53
2010-12-01 02:15:00+00:00,33,1,93735,NQH1,2111.5,2112.5,2111.5,2112.5,3
2010-12-01 02:30:00+00:00,33,1,3088,NQZ0,2114.5,2115.25,2114.0,2115.0,72
2010-12-01 02:30:00+00:00,33,1,93735,NQH1,2113.0,2113.0,2113.0,2113.0,1
2010-12-01 02:45:00+00:00,33,1,3088,NQZ0,2115.5,2116.0,2115.0,2115.0,47
2010-12-01 02:45:00+00:00,33,1,93735,NQH1,2113.5,2113.5,2113.5,2113.5,1
2010-12-01 03:00:00+00:00,33,1,3088,NQZ0,2115.25,2115.25,2113.75,2114.0,57
2010-12-01 03:15:00+00:00,33,1,3088,NQZ0,2114.0,2115.0,2113.75,2114.5,52
2010-12-01 03:30:00+00:00,33,1,3088,NQZ0,2114.25,2115.25,2113.0,2114.75,100
2010-12-01 03:30:00+00:00,33,1,93735,NQH1,2112.0,2112.0,2112.0,2112.0,1
