ts_event,rtype,publisher_id,instrument_id,symbol,open,high,low,close,volume
2011-08-01 00:00:00+00:00,33,1,12038,NQZ1,2382.5,2385.75,2381.0,2383.0,22
2011-08-01 00:00:00+00:00,33,1,56972,NQU1,2386.25,2394.0,2386.0,2390.5,2950
2011-08-01 04:00:00+00:00,33,1,12038,NQZ1,2385.5,2388.75,2379.0,2379.0,11
2011-08-01 04:00:00+00:00,33,1,56972,NQU1,2390.25,2395.0,2384.0,2384.75,7304
2011-08-01 08:00:00+00:00,33,1,12038,NQZ1,2376.5,2384.0,2376.5,2384.0,4
2011-08-01 08:00:00+00:00,33,1,56972,NQU1,2384.75,2394.0,2381.5,2385.5,9813
2011-08-01 12:00:00+00:00,33,1,12038,NQZ1,2384.0,2386.5,2322.75,2322.75,190
2011-08-01 12:00:00+00:00,33,1,56972,NQU1,2385.75,2394.0,2325.75,2327.25,204086
2011-08-01 12:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.35,-5.5,-5.5,3
2011-08-01 16:00:00+00:00,33,1,8870,NQH2,2341.5,2341.5,2341.5,2341.5,1
2011-08-01 16:00:00+00:00,33,1,12038,NQZ1,2321.0,2347.0,2316.25,2343.25,64
2011-08-01 16:00:00+00:00,33,1,56972,NQU1,2327.25,2353.5,2320.75,2350.25,119919
2011-08-01 20:00:00+00:00,33,1,12038,NQZ1,2345.25,2348.5,2340.5,2345.25,31
2011-08-01 20:00:00+00:00,33,1,56972,NQU1,2350.25,2355.25,2342.0,2349.25,12355
2011-08-01 20:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.5,-5.35,-5.5,-5.35,6
2011-08-02 00:00:00+00:00,33,1,12038,NQZ1,2342.0,2342.0,2330.25,2331.75,9
2011-08-02 00:00:00+00:00,33,1,56972,NQU1,2349.25,2351.25,2332.25,2337.75,1923
2011-08-02 00:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.35,-5.5,-5.5,7
2011-08-02 04:00:00+00:00,33,1,12038,NQZ1,2329.5,2329.5,2325.75,2327.75,14
2011-08-02 04:00:00+00:00,33,1,56972,NQU1,2337.75,2339.75,2329.75,2334.5,6965
2011-08-02 04:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.35,-5.35,-5.35,5
2011-08-02 08:00:00+00:00,33,1,12038,NQZ1,2332.0,2332.0,2325.25,2325.25,29
2011-08-02 08:00:00+00:00,33,1,56972,NQU1,2334.75,2339.25,2330.75,2335.0,10791
2011-08-02 08:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.35,-5.35,-5.35,2
2011-08-02 12:00:00+00:00,33,1,12038,NQZ1,2326.25,2342.5,2324.0,2325.0,127
2011-08-02 12:00:00+00:00,33,1,56972,NQU1,2335.0,2349.25,2325.0,2331.0,136418
2011-08-02 12:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.35,-5.35,-5.35,1
2011-08-02 16:00:00+00:00,33,1,12038,NQZ1,2324.75,2330.75,2283.75,2283.75,165
2011-08-02 16:00:00+00:00,33,1,56972,NQU1,2331.0,2336.25,2287.75,2289.75,165810
2011-08-02 16:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.25,-5.35,-5.25,22
2011-08-02 20:00:00+00:00,33,1,12038,NQZ1,2284.0,2284.0,2280.75,2281.5,9
2011-08-02 20:00:00+00:00,33,1,56972,NQU1,2289.75,2295.25,2281.25,2284.75,18662
2011-08-02 20:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.35,-5.35,-5.35,2
2011-08-03 00:00:00+00:00,33,1,12038,NQZ1,2280.0,2280.5,2280.0,2280.5,13
2011-08-03 00:00:00+00:00,33,1,56972,NQU1,2285.0,2289.5,2282.75,2288.0,2042
2011-08-03 04:00:00+00:00,33,1,12038,NQZ1,2285.0,2290.0,2274.0,2289.5,45
2011-08-03 04:00:00+00:00,33,1,56972,NQU1,2288.25,2297.75,2277.25,2294.25,13000
2011-08-03 04:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.0,-5.0,-5.3,-5.3,6
2011-08-03 08:00:00+00:00,33,1,12038,NQZ1,2291.0,2296.25,2287.75,2287.75,8
2011-08-03 08:00:00+00:00,33,1,56972,NQU1,2294.25,2303.5,2291.75,2294.5,14068
2011-08-03 12:00:00+00:00,33,1,8870,NQH2,2264.0,2264.0,2264.0,2264.0,1
2011-08-03 12:00:00+00:00,33,1,12038,NQZ1,2285.25,2293.75,2248.75,2281.5,431
2011-08-03 12:00:00+00:00,33,1,56972,NQU1,2294.5,2303.5,2253.0,2288.5,246889
2011-08-03 12:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.2,-5.2,-5.3,-5.2,11
2011-08-03 16:00:00+00:00,33,1,8870,NQH2,2276.0,2276.0,2276.0,2276.0,1
2011-08-03 16:00:00+00:00,33,1,12038,NQZ1,2276.0,2308.5,2270.0,2300.25,74
2011-08-03 16:00:00+00:00,33,1,56972,NQU1,2288.5,2314.5,2273.75,2310.5,160163
2011-08-03 16:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.35,-5.35,-5.4,-5.4,64
2011-08-03 20:00:00+00:00,33,1,56972,NQU1,2311.0,2311.75,2302.75,2311.5,10533
2011-08-03 20:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.7,-5.7,-5.7,-5.7,10
2011-08-04 00:00:00+00:00,33,1,12038,NQZ1,2310.0,2312.75,2305.75,2305.75,7
2011-08-04 00:00:00+00:00,33,1,56972,NQU1,2311.0,2319.5,2306.75,2313.0,3687
2011-08-04 04:00:00+00:00,33,1,12038,NQZ1,2301.25,2301.25,2301.25,2301.25,3
2011-08-04 04:00:00+00:00,33,1,56972,NQU1,2313.5,2314.25,2302.5,2305.25,8211
2011-08-04 08:00:00+00:00,33,1,12038,NQZ1,2294.0,2294.0,2273.0,2281.25,30
2011-08-04 08:00:00+00:00,33,1,56972,NQU1,2305.5,2306.25,2279.0,2286.25,22449
2011-08-04 12:00:00+00:00,33,1,12038,NQZ1,2270.25,2284.25,2227.0,2235.0,320
2011-08-04 12:00:00+00:00,33,1,56972,NQU1,2286.0,2293.75,2231.0,2241.5,247685
2011-08-04 12:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.75,-5.75,-5.75,-5.75,2
2011-08-04 16:00:00+00:00,33,1,12038,NQZ1,2243.0,2252.25,2200.0,2200.0,126
2011-08-04 16:00:00+00:00,33,1,56972,NQU1,2241.75,2264.25,2204.75,2205.0,225755
2011-08-04 16:00:00+00:00,33,1,612349,NQU1-NQZ1,-5.5,-5.5,-5.7,-5.7,308
2011-08-04 20:00:00+00:00,33,1,12038,NQZ1,2193.75,2205.0,2192.0,2200.0,31
2011-08-04 20:00:00+00:00,33,1,56972,NQU1,2205.0,2213.75,2195.0,2203.0,30984
2011-08-05 00:00:00+00:00,33,1,12038,NQZ1,2201.25,2201.25,2200.0,2200.0,3
2011-08-05 00:00:00+00:00,33,1,56972,NQU1,2202.75,2211.5,2202.25,2204.25,2570
2011-08-05 04:00:00+00:00,33,1,12038,NQZ1,2199.25,2207.0,2174.5,2207.0,37
2011-08-05 04:00:00+00:00,33,1,56972,NQU1,2204.25,2213.75,2179.25,2212.25,18671
