ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-03-01T00:00:00.000000000Z,33,1,20631,12022.250000000,12151.500000000,12013.750000000,12014.500000000,790,NQH3
2023-03-01T00:05:00.000000000Z,33,1,20631,12015.000000000,12144.750000000,12008.250000000,12010.500000000,670,NQH3
2023-03-01T00:10:00.000000000Z,33,1,20631,12010.750000000,12142.000000000,12007.000000000,12008.000000000,501,NQH3
2023-03-01T00:15:00.000000000Z,33,1,20631,12008.250000000,12140.000000000,134.700000000,12002.750000000,930,NQH3
2023-03-01T00:20:00.000000000Z,33,1,19669,134.500000000,12007.000000000,134.250000000,12004.750000000,406,NQH3-NQM3
2023-03-01T00:25:00.000000000Z,33,1,20631,12004.500000000,12268.000000000,12002.250000000,12003.000000000,344,NQH3
2023-03-01T00:30:00.000000000Z,33,1,20631,12003.000000000,12139.000000000,12001.250000000,12004.000000000,1075,NQH3
2023-03-01T00:35:00.000000000Z,33,1,20631,12004.000000000,12141.250000000,12000.500000000,12002.000000000,335,NQH3
2023-03-01T00:40:00.000000000Z,33,1,3522,12137.250000000,12139.000000000,134.750000000,11999.500000000,637,NQM3
2023-03-01T00:45:00.000000000Z,33,1,20631,11999.250000000,12004.500000000,11998.500000000,12003.750000000,288,NQH3
2023-03-01T00:50:00.000000000Z,33,1,3522,12138.500000000,12141.750000000,12000.750000000,12000.750000000,409,NQM3
2023-03-01T00:55:00.000000000Z,33,1,3522,12137.750000000,12137.750000000,11999.750000000,12000.750000000,249,NQM3
2023-03-01T01:00:00.000000000Z,33,1,19669,134.800000000,12134.500000000,134.600000000,12127.500000000,1079,NQH3-NQM3
2023-03-01T01:05:00.000000000Z,33,1,20631,11994.750000000,12128.000000000,11993.000000000,12004.500000000,596,NQH3
2023-03-01T01:10:00.000000000Z,33,1,20631,12004.250000000,12146.500000000,12004.250000000,12007.500000000,698,NQH3
2023-03-01T01:15:00.000000000Z,33,1,20631,12008.000000000,12271.250000000,12008.000000000,12147.000000000,470,NQH3
2023-03-01T01:20:00.000000000Z,33,1,20631,12013.000000000,12153.250000000,12013.000000000,12017.000000000,784,NQH3
2023-03-01T01:25:00.000000000Z,33,1,20631,12017.000000000,12154.500000000,12016.000000000,12017.500000000,587,NQH3
2023-03-01T01:30:00.000000000Z,33,1,3522,12155.000000000,12159.750000000,12017.500000000,12022.250000000,1791,NQM3
2023-03-01T01:35:00.000000000Z,33,1,20631,12022.000000000,12023.000000000,12016.750000000,12020.000000000,396,NQH3
2023-03-01T01:40:00.000000000Z,33,1,20631,12020.250000000,12157.750000000,12014.750000000,12157.750000000,432,NQH3
2023-03-01T01:45:00.000000000Z,33,1,20631,12022.250000000,12165.000000000,12022.250000000,12031.000000000,603,NQH3
2023-03-01T01:50:00.000000000Z,33,1,20631,12030.750000000,12170.500000000,12030.250000000,12039.500000000,1082,NQH3
2023-03-01T01:55:00.000000000Z,33,1,20631,12039.500000000,12178.250000000,12037.500000000,12041.750000000,816,NQH3
2023-03-01T02:00:00.000000000Z,33,1,20631,12041.750000000,12173.500000000,12036.750000000,12039.500000000,609,NQH3
2023-03-01T02:05:00.000000000Z,33,1,20631,12038.750000000,12181.500000000,12038.750000000,12045.750000000,559,NQH3
2023-03-01T02:10:00.000000000Z,33,1,20631,12045.500000000,12182.000000000,12043.750000000,12046.750000000,766,NQH3
2023-03-01T02:15:00.000000000Z,33,1,20631,12047.250000000,12050.750000000,12044.500000000,12047.500000000,542,NQH3
2023-03-01T02:20:00.000000000Z,33,1,3522,12180.250000000,12180.250000000,12042.000000000,12043.250000000,438,NQM3
2023-03-01T02:25:00.000000000Z,33,1,20631,12043.000000000,12048.750000000,12042.000000000,12045.500000000,396,NQH3
2023-03-01T02:30:00.000000000Z,33,1,20631,12045.500000000,12183.750000000,134.850000000,12046.000000000,220,NQH3
2023-03-01T02:35:00.000000000Z,33,1,20631,12046.750000000,12183.000000000,133.100000000,12183.000000000,880,NQH3
2023-03-01T02:40:00.000000000Z,33,1,20631,12045.750000000,12185.000000000,12043.500000000,12052.250000000,680,NQH3
2023-03-01T02:45:00.000000000Z,33,1,20631,12052.000000000,12185.750000000,12045.500000000,12047.250000000,445,NQH3
2023-03-01T02:50:00.000000000Z,33,1,20631,12047.500000000,12051.250000000,12046.750000000,12050.750000000,233,NQH3
2023-03-01T02:55:00.000000000Z,33,1,20631,12050.000000000,12191.250000000,134.250000000,12055.000000000,355,NQH3
2023-03-01T03:00:00.000000000Z,33,1,20631,12054.750000000,12189.000000000,12051.750000000,12057.500000000,516,NQH3
2023-03-01T03:05:00.000000000Z,33,1,20631,12056.750000000,12195.000000000,12055.500000000,12059.000000000,558,NQH3
2023-03-01T03:10:00.000000000Z,33,1,20631,12059.750000000,12059.750000000,12055.000000000,12055.750000000,495,NQH3
2023-03-01T03:15:00.000000000Z,33,1,20631,12055.750000000,12191.000000000,12055.750000000,12056.000000000,228,NQH3
2023-03-01T03:20:00.000000000Z,33,1,20631,12056.500000000,12200.000000000,12055.500000000,12070.250000000,1127,NQH3
2023-03-01T03:25:00.000000000Z,33,1,20631,12070.500000000,12210.000000000,134.850000000,12210.000000000,986,NQH3
2023-03-01T03:30:00.000000000Z,33,1,20631,12075.500000000,12202.750000000,12066.250000000,12201.000000000,772,NQH3
2023-03-01T03:35:00.000000000Z,33,1,20631,12066.500000000,12202.000000000,12065.750000000,12067.750000000,313,NQH3
