ts_event,rtype,publisher_id,instrument_id,symbol,open,high,low,close,volume
2019-04-01 00:00:00+00:00,33,1,9166,NQM9,7455.5,7472.5,7455.0,7466.0,7513
2019-04-01 00:00:00+00:00,33,1,36742,NQU9,7488.75,7495.0,7488.75,7494.0,7
2019-04-01 00:45:00+00:00,33,1,9166,NQM9,7466.25,7469.25,7463.25,7466.5,3264
2019-04-01 00:45:00+00:00,33,1,36742,NQU9,7492.0,7494.0,7492.0,7493.75,4
2019-04-01 01:30:00+00:00,33,1,9166,NQM9,7466.25,7479.0,7465.0,7477.0,5992
2019-04-01 01:30:00+00:00,33,1,36742,NQU9,7496.0,7497.5,7496.0,7497.5,2
2019-04-01 02:15:00+00:00,33,1,9166,NQM9,7477.0,7487.5,7476.0,7483.0,5728
2019-04-01 02:15:00+00:00,33,1,17825,NQM9-NQU9,27.9,27.9,27.9,27.9,1
2019-04-01 02:15:00+00:00,33,1,36742,NQU9,7506.75,7510.0,7506.75,7509.0,7
2019-04-01 03:00:00+00:00,33,1,9166,NQM9,7483.5,7484.5,7479.0,7480.0,2031
2019-04-01 03:00:00+00:00,33,1,36742,NQU9,7509.0,7509.0,7507.0,7507.0,2
2019-04-01 03:45:00+00:00,33,1,9166,NQM9,7480.0,7481.25,7473.5,7474.25,1858
2019-04-01 03:45:00+00:00,33,1,36742,NQU9,7500.0,7502.0,7500.0,7502.0,5
2019-04-01 04:30:00+00:00,33,1,9166,NQM9,7474.25,7477.0,7473.25,7475.5,1567
2019-04-01 04:30:00+00:00,33,1,36742,NQU9,7503.25,7503.25,7503.25,7503.25,1
2019-04-01 05:15:00+00:00,33,1,9166,NQM9,7475.5,7478.25,7473.25,7476.5,1889
2019-04-01 05:15:00+00:00,33,1,17825,NQM9-NQU9,26.8,26.8,26.8,26.8,1
2019-04-01 05:15:00+00:00,33,1,36742,NQU9,7504.0,7504.0,7504.0,7504.0,1
2019-04-01 06:00:00+00:00,33,1,9166,NQM9,7476.25,7477.75,7469.25,7473.5,4063
2019-04-01 06:00:00+00:00,33,1,17825,NQM9-NQU9,26.8,26.9,26.8,26.9,2
2019-04-01 06:00:00+00:00,33,1,36742,NQU9,7500.25,7500.25,7497.0,7497.25,4
2019-04-01 06:45:00+00:00,33,1,9166,NQM9,7473.25,7476.75,7469.5,7473.75,5530
2019-04-01 06:45:00+00:00,33,1,17825,NQM9-NQU9,26.9,26.9,26.9,26.9,2
2019-04-01 06:45:00+00:00,33,1,36742,NQU9,7500.0,7501.0,7500.0,7500.0,3
2019-04-01 07:30:00+00:00,33,1,9166,NQM9,7474.0,7484.25,7472.25,7477.75,6361
2019-04-01 07:30:00+00:00,33,1,36742,NQU9,7502.0,7509.75,7502.0,7509.75,4
2019-04-01 08:15:00+00:00,33,1,9166,NQM9,7477.5,7487.5,7476.75,7482.0,6235
2019-04-01 09:00:00+00:00,33,1,9166,NQM9,7481.75,7484.0,7471.5,7474.25,5883
2019-04-01 09:00:00+00:00,33,1,36742,NQU9,7502.5,7502.5,7500.25,7500.25,2
2019-04-01 09:45:00+00:00,33,1,9166,NQM9,7474.0,7475.0,7465.5,7467.0,5679
2019-04-01 09:45:00+00:00,33,1,36742,NQU9,7498.0,7498.0,7498.0,7498.0,1
2019-04-01 10:30:00+00:00,33,1,9166,NQM9,7467.25,7473.5,7465.5,7470.75,4501
2019-04-01 10:30:00+00:00,33,1,36742,NQU9,7495.0,7495.0,7495.0,7495.0,2
2019-04-01 11:15:00+00:00,33,1,9166,NQM9,7470.75,7472.75,7466.0,7471.0,4089
2019-04-01 12:00:00+00:00,33,1,9166,NQM9,7470.75,7476.75,7460.5,7470.25,9906
2019-04-01 12:00:00+00:00,33,1,10685,NQU9-NQZ9,22.0,22.0,22.0,22.0,1
2019-04-01 12:00:00+00:00,33,1,17825,NQM9-NQU9,27.9,28.0,27.9,28.0,40
2019-04-01 12:00:00+00:00,33,1,36742,NQU9,7502.5,7502.5,7498.5,7499.0,12
2019-04-01 12:45:00+00:00,33,1,9166,NQM9,7470.5,7475.25,7465.0,7470.75,7351
2019-04-01 12:45:00+00:00,33,1,36742,NQU9,7495.5,7503.0,7495.5,7503.0,2
2019-04-01 13:30:00+00:00,33,1,9166,NQM9,7470.75,7483.0,7445.0,7451.25,91706
2019-04-01 13:30:00+00:00,33,1,17825,NQM9-NQU9,28.15,28.15,28.15,28.15,4
2019-04-01 13:30:00+00:00,33,1,36742,NQU9,7499.5,7510.0,7479.5,7481.0,61
2019-04-01 14:15:00+00:00,33,1,9166,NQM9,7451.5,7466.75,7448.75,7465.0,39711
2019-04-01 14:15:00+00:00,33,1,10008,NQM9-NQZ9,53.95,53.95,53.95,53.95,1
2019-04-01 14:15:00+00:00,33,1,15907,NQZ9,7514.0,7514.0,7509.75,7509.75,3
2019-04-01 14:15:00+00:00,33,1,17825,NQM9-NQU9,28.2,28.2,28.2,28.2,1
2019-04-01 14:15:00+00:00,33,1,36742,NQU9,7484.5,7493.0,7482.0,7493.0,17
2019-04-01 15:00:00+00:00,33,1,9166,NQM9,7465.0,7485.0,7463.0,7472.75,39026
2019-04-01 15:00:00+00:00,33,1,36742,NQU9,7500.0,7511.25,7500.0,7502.5,11
2019-04-01 15:45:00+00:00,33,1,9166,NQM9,7472.75,7479.5,7466.25,7476.25,22356
2019-04-01 15:45:00+00:00,33,1,17825,NQM9-NQU9,28.25,28.4,28.25,28.4,5
2019-04-01 15:45:00+00:00,33,1,36742,NQU9,7502.0,7505.5,7495.0,7505.5,22
2019-04-01 16:30:00+00:00,33,1,9166,NQM9,7476.25,7494.0,7475.5,7487.0,20161
2019-04-01 16:30:00+00:00,33,1,36742,NQU9,7507.0,7522.0,7507.0,7518.0,9
2019-04-01 17:15:00+00:00,33,1,9166,NQM9,7487.0,7497.75,7482.25,7496.5,15901
2019-04-01 17:15:00+00:00,33,1,36742,NQU9,7513.5,7525.5,7513.5,7525.0,34
