ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-08-01T00:00:00.000000000Z,33,1,42008487,23297.500000000,23303.500000000,23283.000000000,23285.250000000,473,NQU5
2025-08-01T00:02:00.000000000Z,33,1,42008487,23285.000000000,23295.250000000,23284.250000000,23291.250000000,164,NQU5
2025-08-01T00:04:00.000000000Z,33,1,42008487,23293.750000000,23296.000000000,23285.750000000,23291.000000000,124,NQU5
2025-08-01T00:06:00.000000000Z,33,1,42008487,23290.500000000,23293.500000000,23284.000000000,23291.750000000,116,NQU5
2025-08-01T00:08:00.000000000Z,33,1,42008487,23291.500000000,23294.500000000,23289.000000000,23290.750000000,75,NQU5
2025-08-01T00:10:00.000000000Z,33,1,42008487,23289.000000000,23289.000000000,23279.000000000,23284.250000000,229,NQU5
2025-08-01T00:12:00.000000000Z,33,1,158704,23519.250000000,23519.250000000,23275.000000000,23280.750000000,171,NQZ5
2025-08-01T00:14:00.000000000Z,33,1,42008487,23280.250000000,23518.000000000,23275.750000000,23518.000000000,174,NQU5
2025-08-01T00:16:00.000000000Z,33,1,42008487,23276.250000000,23283.000000000,23275.000000000,23283.000000000,165,NQU5
2025-08-01T00:18:00.000000000Z,33,1,42008487,23281.750000000,23288.000000000,23281.000000000,23282.250000000,254,NQU5
2025-08-01T00:20:00.000000000Z,33,1,42008487,23281.750000000,23515.000000000,23262.500000000,23268.250000000,1180,NQU5
2025-08-01T00:22:00.000000000Z,33,1,158704,23505.250000000,23505.250000000,237.700000000,23270.500000000,141,NQZ5
2025-08-01T00:24:00.000000000Z,33,1,42008487,23270.000000000,23272.250000000,23261.000000000,23262.250000000,201,NQU5
2025-08-01T00:26:00.000000000Z,33,1,42005997,238.000000000,23500.750000000,238.000000000,23476.250000000,1152,NQU5-NQZ5
2025-08-01T00:28:00.000000000Z,33,1,158704,23476.750000000,23478.250000000,237.200000000,237.200000000,515,NQZ5
2025-08-01T00:30:00.000000000Z,33,1,42008487,23248.000000000,23260.750000000,237.200000000,23259.250000000,547,NQU5
2025-08-01T00:32:00.000000000Z,33,1,42008487,23260.000000000,23263.000000000,23252.750000000,23262.500000000,275,NQU5
2025-08-01T00:34:00.000000000Z,33,1,42008487,23261.500000000,23262.000000000,23255.750000000,23261.250000000,118,NQU5
2025-08-01T00:36:00.000000000Z,33,1,42008487,23261.500000000,23500.250000000,236.500000000,23261.750000000,189,NQU5
2025-08-01T00:38:00.000000000Z,33,1,42008487,23262.250000000,23499.750000000,236.800000000,236.800000000,191,NQU5
2025-08-01T00:40:00.000000000Z,33,1,42005997,236.300000000,23504.750000000,236.300000000,23272.500000000,332,NQU5-NQZ5
2025-08-01T00:42:00.000000000Z,33,1,42008487,23272.750000000,23287.250000000,23272.000000000,23286.750000000,266,NQU5
2025-08-01T00:44:00.000000000Z,33,1,42008487,23286.250000000,23290.000000000,23276.000000000,23277.500000000,231,NQU5
2025-08-01T00:46:00.000000000Z,33,1,42008487,23276.500000000,23276.500000000,23263.500000000,23272.750000000,267,NQU5
2025-08-01T00:48:00.000000000Z,33,1,42008487,23272.500000000,23502.250000000,23263.750000000,23265.750000000,143,NQU5
2025-08-01T00:50:00.000000000Z,33,1,42008487,23265.250000000,23267.750000000,23258.250000000,23266.250000000,192,NQU5
2025-08-01T00:52:00.000000000Z,33,1,42008487,23266.000000000,23496.000000000,23258.250000000,23262.500000000,134,NQU5
2025-08-01T00:54:00.000000000Z,33,1,42008487,23263.750000000,23274.250000000,23263.500000000,23268.000000000,248,NQU5
2025-08-01T00:56:00.000000000Z,33,1,42008487,23269.000000000,23515.000000000,23267.000000000,23277.500000000,235,NQU5
2025-08-01T00:58:00.000000000Z,33,1,42008487,23277.000000000,23517.500000000,23275.750000000,23280.250000000,145,NQU5
2025-08-01T01:00:00.000000000Z,33,1,42008487,23279.750000000,23280.250000000,23272.000000000,23279.250000000,255,NQU5
2025-08-01T01:02:00.000000000Z,33,1,42008487,23279.000000000,23287.500000000,23278.750000000,23284.500000000,212,NQU5
