ts_event,rtype,publisher_id,instrument_id,symbol,open,high,low,close,volume
2021-05-02 21:45:00+00:00,33,1,2786,NQM1,13880.25,13887.25,13870.0,13881.75,3124
2021-05-02 22:30:00+00:00,33,1,2786,NQM1,13881.5,13888.75,13878.0,13884.0,2030
2021-05-02 23:15:00+00:00,33,1,828,NQU1,13870.0,13872.5,13866.25,13866.25,3
2021-05-02 23:15:00+00:00,33,1,2786,NQM1,13883.0,13885.75,13877.25,13879.75,992
2021-05-03 00:00:00+00:00,33,1,828,NQU1,13871.0,13881.5,13871.0,13880.75,3
2021-05-03 00:00:00+00:00,33,1,2786,NQM1,13880.25,13897.5,13877.25,13895.75,2523
2021-05-03 00:00:00+00:00,33,1,10903,NQM1-NQU1,-11.8,-11.8,-11.95,-11.95,2
2021-05-03 00:45:00+00:00,33,1,828,NQU1,13886.75,13888.75,13886.75,13888.75,5
2021-05-03 00:45:00+00:00,33,1,2786,NQM1,13895.25,13903.5,13890.75,13895.25,2171
2021-05-03 00:45:00+00:00,33,1,10903,NQM1-NQU1,-11.2,-11.2,-11.2,-11.2,2
2021-05-03 01:30:00+00:00,33,1,828,NQU1,13886.5,13886.5,13877.75,13877.75,2
2021-05-03 01:30:00+00:00,33,1,2786,NQM1,13895.5,13896.25,13870.5,13875.0,3062
2021-05-03 01:30:00+00:00,33,1,10903,NQM1-NQU1,-11.95,-11.95,-12.0,-12.0,2
2021-05-03 02:15:00+00:00,33,1,2786,NQM1,13874.75,13881.5,13868.0,13873.5,1559
2021-05-03 03:00:00+00:00,33,1,2786,NQM1,13874.25,13878.0,13871.25,13874.75,945
2021-05-03 03:45:00+00:00,33,1,2786,NQM1,13875.0,13878.0,13866.0,13868.0,828
2021-05-03 04:30:00+00:00,33,1,828,NQU1,13856.75,13856.75,13855.0,13855.5,6
2021-05-03 04:30:00+00:00,33,1,2786,NQM1,13868.25,13871.25,13864.0,13865.0,1383
2021-05-03 04:30:00+00:00,33,1,10903,NQM1-NQU1,-11.7,-11.7,-11.7,-11.7,1
2021-05-03 05:15:00+00:00,33,1,828,NQU1,13847.75,13847.75,13847.75,13847.75,1
2021-05-03 05:15:00+00:00,33,1,2786,NQM1,13865.25,13867.75,13856.0,13860.25,1151
2021-05-03 06:00:00+00:00,33,1,828,NQU1,13846.25,13865.25,13846.25,13862.25,8
2021-05-03 06:00:00+00:00,33,1,2786,NQM1,13860.75,13876.75,13856.0,13876.75,1789
2021-05-03 06:45:00+00:00,33,1,828,NQU1,13865.0,13884.0,13865.0,13884.0,4
2021-05-03 06:45:00+00:00,33,1,2770,NQZ1,13868.5,13868.5,13868.5,13868.5,1
2021-05-03 06:45:00+00:00,33,1,2786,NQM1,13876.75,13912.25,13874.25,13906.75,5324
2021-05-03 06:45:00+00:00,33,1,10903,NQM1-NQU1,-11.1,-11.1,-11.1,-11.1,1
2021-05-03 06:45:00+00:00,33,1,19685,NQM1-NQZ1,-24.45,-24.45,-24.45,-24.45,1
2021-05-03 07:30:00+00:00,33,1,828,NQU1,13888.0,13888.0,13888.0,13888.0,1
2021-05-03 07:30:00+00:00,33,1,2786,NQM1,13906.75,13914.5,13892.0,13895.5,4318
2021-05-03 08:15:00+00:00,33,1,828,NQU1,13870.25,13871.25,13870.25,13871.25,2
2021-05-03 08:15:00+00:00,33,1,2786,NQM1,13895.5,13896.0,13875.0,13876.0,3723
2021-05-03 09:00:00+00:00,33,1,828,NQU1,13857.5,13857.5,13850.25,13850.25,2
2021-05-03 09:00:00+00:00,33,1,2786,NQM1,13876.0,13879.5,13844.5,13845.75,5713
2021-05-03 09:00:00+00:00,33,1,10903,NQM1-NQU1,-11.75,-11.75,-11.75,-11.75,1
2021-05-03 09:45:00+00:00,33,1,2786,NQM1,13846.0,13870.0,13846.0,13863.25,3743
2021-05-03 10:30:00+00:00,33,1,828,NQU1,13875.5,13875.5,13875.5,13875.5,1
2021-05-03 10:30:00+00:00,33,1,2786,NQM1,13863.0,13893.0,13862.75,13880.5,5995
2021-05-03 11:15:00+00:00,33,1,828,NQU1,13878.75,13879.75,13878.75,13879.75,2
2021-05-03 11:15:00+00:00,33,1,2786,NQM1,13881.25,13900.0,13880.25,13889.75,6893
2021-05-03 11:15:00+00:00,33,1,10903,NQM1-NQU1,-11.7,-11.7,-11.7,-11.7,1
2021-05-03 12:00:00+00:00,33,1,828,NQU1,13882.5,13893.75,13882.5,13893.75,3
2021-05-03 12:00:00+00:00,33,1,2786,NQM1,13889.0,13910.0,13885.0,13907.75,8172
2021-05-03 12:00:00+00:00,33,1,10903,NQM1-NQU1,-11.2,-11.2,-11.2,-11.2,1
2021-05-03 12:45:00+00:00,33,1,828,NQU1,13899.75,13901.75,13885.0,13899.75,12
2021-05-03 12:45:00+00:00,33,1,2786,NQM1,13907.25,13916.25,13895.0,13914.75,8714
2021-05-03 12:45:00+00:00,33,1,10903,NQM1-NQU1,-11.7,-11.2,-11.7,-11.3,4
2021-05-03 13:30:00+00:00,33,1,828,NQU1,13901.5,13917.75,13850.0,13917.75,29
2021-05-03 13:30:00+00:00,33,1,2770,NQZ1,13895.0,13895.0,13895.0,13895.0,1
2021-05-03 13:30:00+00:00,33,1,2786,NQM1,13915.0,13931.75,13851.0,13929.25,83094
2021-05-03 13:30:00+00:00,33,1,10903,NQM1-NQU1,-11.2,-10.85,-11.55,-10.85,17
2021-05-03 14:15:00+00:00,33,1,828,NQU1,13919.75,13935.25,13827.5,13831.0,59
2021-05-03 14:15:00+00:00,33,1,2770,NQZ1,13915.0,13915.0,13915.0,13915.0,1
2021-05-03 14:15:00+00:00,33,1,2786,NQM1,13929.5,13947.5,13837.5,13847.0,67710
2021-05-03 14:15:00+00:00,33,1,10903,NQM1-NQU1,-11.5,-11.05,-11.5,-11.05,6
2021-05-03 15:00:00+00:00,33,1,828,NQU1,13823.75,13834.0,13766.5,13813.0,316
2021-05-03 15:00:00+00:00,33,1,2786,NQM1,13847.75,13847.75,13775.75,13822.5,69862
2021-05-03 15:00:00+00:00,33,1,10903,NQM1-NQU1,-11.35,-10.85,-11.6,-10.85,53
2021-05-03 15:45:00+00:00,33,1,828,NQU1,13804.5,13810.25,13778.25,13789.0,255
2021-05-03 15:45:00+00:00,33,1,2786,NQM1,13822.0,13824.0,13787.0,13794.25,34575
2021-05-03 15:45:00+00:00,33,1,10903,NQM1-NQU1,-11.35,-10.9,-11.6,-11.6,59
2021-05-03 16:30:00+00:00,33,1,828,NQU1,13780.0,13793.25,13763.25,13774.5,126
2021-05-03 16:30:00+00:00,33,1,2786,NQM1,13793.5,13806.75,13772.0,13796.0,29236
