ts_event,rtype,publisher_id,instrument_id,symbol,open,high,low,close,volume
2014-05-01 00:00:00+00:00,33,1,8223,NQM4,3578.5,3579.0,3575.25,3576.25,1101
2014-05-01 02:00:00+00:00,33,1,8223,NQM4,3576.25,3578.25,3575.75,3576.5,526
2014-05-01 04:00:00+00:00,33,1,8223,NQM4,3576.75,3577.0,3572.75,3576.0,1125
2014-05-01 06:00:00+00:00,33,1,8223,NQM4,3576.0,3582.75,3575.75,3582.5,1694
2014-05-01 08:00:00+00:00,33,1,8223,NQM4,3582.5,3585.75,3581.25,3581.5,1544
2014-05-01 10:00:00+00:00,33,1,8223,NQM4,3582.0,3583.5,3579.0,3581.0,1690
2014-05-01 12:00:00+00:00,33,1,8223,NQM4,3580.75,3588.25,3570.5,3582.0,27966
2014-05-01 12:00:00+00:00,33,1,83745,NQU4,3579.5,3579.5,3579.5,3579.5,1
2014-05-01 14:00:00+00:00,33,1,8223,NQM4,3582.0,3605.5,3573.0,3593.0,72028
2014-05-01 14:00:00+00:00,33,1,83745,NQU4,3580.0,3599.0,3580.0,3599.0,5
2014-05-01 16:00:00+00:00,33,1,8223,NQM4,3592.75,3599.25,3580.75,3583.25,33589
2014-05-01 18:00:00+00:00,33,1,8223,NQM4,3583.25,3590.0,3577.25,3585.25,46987
2014-05-01 18:00:00+00:00,33,1,83745,NQU4,3582.5,3582.5,3582.5,3582.5,1
2014-05-01 18:00:00+00:00,33,1,111228,NQM4-NQU4,-7.0,-7.0,-7.0,-7.0,85
2014-05-01 20:00:00+00:00,33,1,8223,NQM4,3585.25,3592.25,3583.25,3591.5,5662
2014-05-01 22:00:00+00:00,33,1,8223,NQM4,3589.5,3590.75,3587.5,3588.75,836
2014-05-02 00:00:00+00:00,33,1,8223,NQM4,3588.75,3590.0,3587.5,3588.25,778
2014-05-02 00:00:00+00:00,33,1,28097,NQZ4,3576.0,3576.0,3576.0,3576.0,2
2014-05-02 02:00:00+00:00,33,1,8223,NQM4,3588.5,3589.75,3588.0,3588.25,623
2014-05-02 04:00:00+00:00,33,1,8223,NQM4,3588.25,3589.0,3585.5,3588.25,794
2014-05-02 06:00:00+00:00,33,1,8223,NQM4,3588.0,3589.75,3585.0,3589.5,3498
2014-05-02 08:00:00+00:00,33,1,8223,NQM4,3589.75,3590.5,3588.0,3589.5,1395
2014-05-02 08:00:00+00:00,33,1,28097,NQZ4,3572.25,3572.25,3572.25,3572.25,2
2014-05-02 10:00:00+00:00,33,1,8223,NQM4,3589.25,3591.5,3587.0,3589.25,2502
2014-05-02 12:00:00+00:00,33,1,8223,NQM4,3589.0,3604.5,3578.0,3585.25,85088
2014-05-02 12:00:00+00:00,33,1,28097,NQZ4,3583.5,3583.5,3583.5,3583.5,1
2014-05-02 12:00:00+00:00,33,1,83745,NQU4,3583.0,3596.0,3583.0,3596.0,3
2014-05-02 14:00:00+00:00,33,1,8223,NQM4,3585.25,3597.75,3569.5,3590.25,111402
2014-05-02 14:00:00+00:00,33,1,83745,NQU4,3574.5,3574.5,3574.5,3574.5,1
2014-05-02 14:00:00+00:00,33,1,111228,NQM4-NQU4,-7.0,-7.0,-7.0,-7.0,1
2014-05-02 16:00:00+00:00,33,1,8223,NQM4,3590.5,3592.75,3577.25,3577.75,32109
2014-05-02 16:00:00+00:00,33,1,83745,NQU4,3575.0,3575.0,3575.0,3575.0,1
2014-05-02 18:00:00+00:00,33,1,8223,NQM4,3577.5,3588.25,3575.0,3578.0,53006
2014-05-02 18:00:00+00:00,33,1,83745,NQU4,3575.0,3575.0,3575.0,3575.0,1
2014-05-02 20:00:00+00:00,33,1,8223,NQM4,3577.75,3580.25,3575.75,3575.75,5543
