ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2019-08-01T00:00:00.000000000Z,33,1,36742,7838.000000000,7839.250000000,7833.750000000,7834.000000000,561,NQU9
2019-08-01T00:03:00.000000000Z,33,1,36742,7834.000000000,7852.500000000,7830.250000000,7834.000000000,776,NQU9
2019-08-01T00:06:00.000000000Z,33,1,36742,7834.000000000,7835.500000000,7831.500000000,7832.000000000,452,NQU9
2019-08-01T00:09:00.000000000Z,33,1,36742,7832.000000000,7835.000000000,7830.250000000,7833.500000000,554,NQU9
2019-08-01T00:12:00.000000000Z,33,1,36742,7833.250000000,7837.500000000,7831.000000000,7836.250000000,347,NQU9
2019-08-01T00:15:00.000000000Z,33,1,36742,7836.000000000,7845.000000000,7835.000000000,7844.500000000,782,NQU9
2019-08-01T00:18:00.000000000Z,33,1,36742,7844.500000000,7846.000000000,7841.000000000,7841.500000000,613,NQU9
2019-08-01T00:21:00.000000000Z,33,1,36742,7841.250000000,7845.250000000,7839.000000000,7844.750000000,373,NQU9
2019-08-01T00:24:00.000000000Z,33,1,36742,7844.500000000,7847.500000000,7841.500000000,7841.500000000,377,NQU9
2019-08-01T00:27:00.000000000Z,33,1,36742,7841.500000000,7864.500000000,7839.500000000,7839.750000000,387,NQU9
2019-08-01T00:30:00.000000000Z,33,1,36742,7840.000000000,7862.000000000,7837.250000000,7842.250000000,282,NQU9
2019-08-01T00:33:00.000000000Z,33,1,36742,7842.500000000,7843.750000000,7841.250000000,7843.250000000,162,NQU9
2019-08-01T00:36:00.000000000Z,33,1,36742,7843.500000000,7847.000000000,7843.000000000,7845.000000000,303,NQU9
2019-08-01T00:39:00.000000000Z,33,1,36742,7844.500000000,7847.250000000,7843.750000000,7846.000000000,213,NQU9
2019-08-01T00:42:00.000000000Z,33,1,36742,7846.000000000,7846.750000000,7845.000000000,7845.750000000,115,NQU9
2019-08-01T00:45:00.000000000Z,33,1,36742,7845.500000000,7846.500000000,7842.750000000,7843.250000000,258,NQU9
2019-08-01T00:48:00.000000000Z,33,1,36742,7843.500000000,7850.000000000,7843.500000000,7850.000000000,579,NQU9
2019-08-01T00:51:00.000000000Z,33,1,36742,7849.750000000,7850.250000000,7848.000000000,7848.250000000,252,NQU9
2019-08-01T00:54:00.000000000Z,33,1,36742,7848.250000000,7849.250000000,7847.500000000,7847.750000000,143,NQU9
2019-08-01T00:57:00.000000000Z,33,1,36742,7847.500000000,7847.500000000,7845.750000000,7847.000000000,246,NQU9
2019-08-01T01:00:00.000000000Z,33,1,36742,7847.000000000,7847.500000000,7844.250000000,7847.250000000,171,NQU9
2019-08-01T01:03:00.000000000Z,33,1,36742,7847.000000000,7872.250000000,7846.250000000,7852.000000000,321,NQU9
2019-08-01T01:06:00.000000000Z,33,1,36742,7852.250000000,7853.750000000,7851.750000000,7853.250000000,316,NQU9
2019-08-01T01:09:00.000000000Z,33,1,36742,7853.500000000,7856.500000000,7851.750000000,7855.000000000,478,NQU9
2019-08-01T01:12:00.000000000Z,33,1,36742,7854.750000000,7856.500000000,7853.500000000,7856.500000000,292,NQU9
2019-08-01T01:15:00.000000000Z,33,1,36742,7856.500000000,7857.250000000,7852.250000000,7853.000000000,389,NQU9
2019-08-01T01:18:00.000000000Z,33,1,36742,7852.750000000,7854.000000000,7850.750000000,7853.000000000,285,NQU9
2019-08-01T01:21:00.000000000Z,33,1,36742,7853.000000000,7853.750000000,7852.000000000,7853.250000000,167,NQU9
2019-08-01T01:24:00.000000000Z,33,1,36742,7853.250000000,7857.250000000,7853.000000000,7856.750000000,215,NQU9
2019-08-01T01:27:00.000000000Z,33,1,36742,7856.750000000,7859.000000000,7856.000000000,7859.000000000,296,NQU9
2019-08-01T01:30:00.000000000Z,33,1,36742,7859.250000000,7860.750000000,7856.750000000,7859.000000000,698,NQU9
2019-08-01T01:33:00.000000000Z,33,1,36742,7858.750000000,7885.000000000,7857.750000000,7862.000000000,506,NQU9
2019-08-01T01:36:00.000000000Z,33,1,36742,7862.250000000,7886.250000000,22.900000000,7865.250000000,531,NQU9
2019-08-01T01:39:00.000000000Z,33,1,36742,7865.000000000,7866.250000000,7863.500000000,7864.750000000,462,NQU9
2019-08-01T01:42:00.000000000Z,33,1,36742,7864.500000000,7887.500000000,7861.750000000,7866.000000000,488,NQU9
2019-08-01T01:45:00.000000000Z,33,1,36742,7866.000000000,7871.500000000,7864.000000000,7870.500000000,1022,NQU9
2019-08-01T01:48:00.000000000Z,33,1,15907,7891.250000000,7895.250000000,7868.750000000,7895.250000000,707,NQZ9
2019-08-01T01:51:00.000000000Z,33,1,36742,7871.000000000,7872.500000000,7870.250000000,7872.250000000,366,NQU9
2019-08-01T01:54:00.000000000Z,33,1,36742,7872.000000000,7875.000000000,7871.500000000,7872.250000000,295,NQU9
2019-08-01T01:57:00.000000000Z,33,1,36742,7872.500000000,7875.250000000,7872.000000000,7873.750000000,339,NQU9
2019-08-01T02:00:00.000000000Z,33,1,36742,7873.750000000,7875.250000000,7873.250000000,7875.000000000,216,NQU9
2019-08-01T02:03:00.000000000Z,33,1,36742,7875.250000000,7875.750000000,7872.500000000,7873.000000000,259,NQU9
2019-08-01T02:06:00.000000000Z,33,1,36742,7873.250000000,7873.750000000,7872.000000000,7872.250000000,173,NQU9
2019-08-01T02:09:00.000000000Z,33,1,36742,7872.500000000,7873.000000000,7870.750000000,7871.250000000,243,NQU9
2019-08-01T02:12:00.000000000Z,33,1,36742,7871.000000000,7871.250000000,7869.750000000,7870.250000000,264,NQU9
2019-08-01T02:15:00.000000000Z,33,1,36742,7870.250000000,7872.750000000,7869.750000000,7872.750000000,235,NQU9
2019-08-01T02:18:00.000000000Z,33,1,36742,7872.750000000,7875.500000000,7870.250000000,7871.000000000,269,NQU9
2019-08-01T02:21:00.000000000Z,33,1,36742,7870.750000000,7871.000000000,7866.750000000,7867.500000000,590,NQU9
2019-08-01T02:24:00.000000000Z,33,1,36742,7867.500000000,7892.750000000,7867.500000000,7892.750000000,345,NQU9
2019-08-01T02:27:00.000000000Z,33,1,36742,7868.750000000,7896.500000000,7867.500000000,7867.500000000,186,NQU9
2019-08-01T02:30:00.000000000Z,33,1,36742,7867.500000000,7869.000000000,7865.500000000,7866.000000000,339,NQU9
2019-08-01T02:33:00.000000000Z,33,1,36742,7866.000000000,7867.000000000,7864.500000000,7866.250000000,251,NQU9
2019-08-01T02:36:00.000000000Z,33,1,36742,7866.250000000,7868.500000000,7865.750000000,7868.250000000,134,NQU9
